kota_atau_kabupaten,tahun_2019,tahun_2020,tahun_2021,tahun_2022,tahun_2023,jumlah_daya_tarik
Sumba Barat,151,151,176,296,296,1070
Sumba Timur,37,37,37,37,37,185
Kupang,40,40,40,42,42,204
Timor Tengah Selatan,47,47,47,44,44,229
Timor Tengah Utara,11,11,11,11,61,105
Belu,122,122,122,134,134,634
Alor,38,38,40,39,39,194
Lembata,73,73,73,73,73,365
Flores Timur,140,140,141,140,140,701
Sikka,77,77,77,73,73,377
Ende,57,57,57,47,47,265
Ngada,58,58,58,57,57,288
Manggarai,43,43,44,37,39,206
Rote Ndao,84,84,84,78,78,408
Manggarai Barat,61,61,61,73,73,329
Sumba Tengah,45,45,45,37,37,209
Sumba Barat Daya,47,47,47,48,48,237
Nagekeo,44,44,44,43,43,218
Manggarai Timur,32,32,32,115,115,326
Sabu Raijua,21,21,58,54,54,208
Malaka,28,28,30,31,31,148
Kota Kupang,49,49,67,73,76,314
