hotel_id,nama_hotel,jenis_hotel,alamat_hotel,kabupaten_kota,rating_hotel,jumlah_reviewer,harga_hotel
1,BANERA HOMESTAY,PONDOK WISATA,"Jl. TDN II No.4, Tuak Daun Merah, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim. 85228",Kota Kupang,"4,2",68,Rp120.804
2,Hotel Ina Boi,PENYEDIAAN AKOMODASI JANGKA PENDEK LAINNYA,"JL. H.O.S.Cokrominoto No.1, Klp. Lima, Kec. Klp. Lima, Kota Kupang, Nusa Tenggara Tim. 85238",Kota Kupang,"3,9",93,Rp144.000
3,GUEST HOUSE TUNAS DAUD,HOTEL MELATI,"Jl. Adi Sucipto, Oesapa, Kec. Klp. Lima, Kota Kupang, Nusa Tenggara Tim. 85228",Kota Kupang,4,64,Rp146.954
4,VANYAS HOTEL,HOTEL MELATI,"Jl. Jend. Soeharto No.55, Naikoten I, Kec. Kota Raja, Kota Kupang, Nusa Tenggara Tim. 85142",Kota Kupang,4,25,Rp180.000
5,HOTEL CAHAYA BAPA,HOTEL MELATI,"Jl. Herewila No.34, Naikoten II, Kec. Kota Raja, Kota Kupang, Nusa Tenggara Tim.",Kota Kupang,4,455,Rp120.000
6,ROSSEMI HOMESTAY,HOTEL MELATI,JL FLAMBOYAN,Kota Kupang,"4,2",26,Rp105.000
7,Hotel Maya,HOTEL MELATI,"Jl. Sumatera No.31, Todekisar, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim.",Kota Kupang,"3,9",277,Rp130.000
8,DEWATA AYU INN,HOTEL MELATI,JL. SAM RATULANGI 5,Kota Kupang,"4,2",139,Rp140.000
9,GUEST HOUSE BIB LANG,HOTEL MELATI,JL. KAKATUA NO 21 KEL BONIPOI KEC KOTA LAMA,Kota Kupang,"4,5",82,Rp110.000
10,ROYAL HOTEL,HOTEL MELATI,"Jl. Terusan Timor Raya No.99, Oesapa Bar., Kec. Klp. Lima, Kota Kupang, Nusa Tenggara Tim. 85227",Kota Kupang,4,224,Rp170.000
11,Hotel Joniar,HOTEL MELATI,"Jl. Dua Lontar No.12, Kayu Putih, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim. 85228",Kota Kupang,"4,1",111,Rp275.000
12,WINSLOW HOTEL,HOTEL MELATI,"Jl. Terusan Timor Raya No.KM. 8, Oesapa, Kec. Klp. Lima, Kota Kupang, Nusa Tenggara Tim.",Kota Kupang,"4,1",55,Rp255.000
13,ROMITA HOTEL,HOTEL MELATI,"Jl. Bund. PU, Oebufu, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim. 85142",Kota Kupang,4,666,Rp245.000
14,GUEST HOUSE GAJAH DOMPAK,HOTEL MELATI,"Jl. Bougenvile No.18, Naikolan, Kec. Maulafa, Kota Kupang, Nusa Tenggara Tim. 85142",Kota Kupang,4,96,Rp210.000
15,Hotel Debitos,HOTEL MELATI,"Jl. Frans Seda, Fatululi, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim.",Kota Kupang,"4,2",397,Rp230.000
16,NIRWANA HOTEL,HOTEL MELATI,"Jl. Merpati, Bonipoi, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim. 85221",Kota Kupang,4,97,Rp190.000
17,HOME STAY JAYA PITA GUEST HOUSE,PENYEDIAAN AKOMODASI JANGKA PENDEK LAINNYA,"Jl. Jupiter I, Oesapa Sel., Kec. Klp. Lima, Kota Kupang, Nusa Tenggara Tim. 85228",Kota Kupang,"4,1",230,Rp160.000
18,PANTAI TIMOR HOTEL,HOTEL MELATI,"Jl. Sumatera No.44, Todekisar, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim. 85112",Kota Kupang,4,252,Rp200.000
19,PENGINAPAN SAKURA,HOTEL MELATI,"JLN YOHANIS KM 9, KEL OESAPA, KEC KELAPA LIMA",Kota Kupang,"4,1",33,Rp190.000
20,TII LANGGA HOTEL,HOTEL MELATI,"JL. Raya Timor Km. 9, Gang Yohanes, Kelapa Lima, Oesapa, Kec. Klp. Lima, Kota Kupang, Nusa Tenggara Tim. 85228",Kota Kupang,"4,1",91,Rp220.000
21,BELLA VITA HOTEL,HOTEL MELATI,"Jl. Moch Hatta No.36, Fontein, Kec. Kota Raja, Kota Kupang, Nusa Tenggara Tim.",Kota Kupang,"4,2",608,Rp255.000
22,GAJAH MADA HOTEL,HOTEL BINTANG DUA,"Jl. Gajah Mada No.70, Fontein, Kec. Kota Raja, Kota Kupang, Nusa Tenggara Tim. 85117",Kota Kupang,4,129,Rp395.000
23,BINTANG HOME STAY,PONDOK WISATA,"Jl. Sam Ratulangi I Jl. Bintang No.7, Klp. Lima, Kec. Klp. Lima, Kota Kupang, Nusa Tenggara Tim. 85228",Kota Kupang,4,220,Rp160.000
24,OLIVE HOTEL,HOTEL MELATI,"Jl. Dua Lontar No.04, Kayu Putih, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim. 85111",Kota Kupang,"3,9",228,Rp250.000
25,ELMYLIA HOTEL  LOUNGE,HOTEL MELATI,"Jl. Perintis Kemerdekaan I, Kayu Putih, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim. 85228",Kota Kupang,4,288,Rp275.000
26,GUEST HOUSE NARISA,PENYEDIAAN AKOMODASI JANGKA PENDEK LAINNYA,JALAN AMABI NO 77 RT 34 RW 07,Kota Kupang,"4,4",352,Rp150.000
27,SURYA KENCANA LOSMEN,HOTEL MELATI,JL. SOEKARNO NO.8,Kota Kupang,4,8,Rp200.000
28,MALIANA HOTEL,HOTEL MELATI,"Jl. Sumatera No.35, Todekisar, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim.",Kota Kupang,"4,2",47,Rp240.000
29,MARINA HOTEL,HOTEL MELATI,"Jl. A. Yani, Merdeka, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim.",Kota Kupang,"3,9",52,Rp220.000
30,KUPANG INDAH HOTEL HOLID BALADJAM,HOTEL MELATI,"Jl. Gn. Kelimutu No.27, Merdeka, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim.",Kota Kupang,"3,9",15,Rp230.000
31,KELIMUTU HOTEL,HOTEL MELATI,"Jl. Gn. Kelimutu No.38, Merdeka, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim. 85229",Kota Kupang,"3,7",75,Rp200.000
32,YOTOWAWA HOTEL/ BRENTON 2,HOTEL MELATI,"Jl. Farmasi, Liliba, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim.",Kota Kupang,"3,8",142,Rp190.000
33,LEDETADU HOTEL,HOTEL MELATI,"Jl. Matahari No.60, Oesapa Sel., Kec. Klp. Lima, Kota Kupang, Nusa Tenggara Tim. 85111",Kota Kupang,"4,1",1193,Rp215.000
34,KUPANG INN HOTEL,HOTEL MELATI,"Jl. Perintis Kemerdekaan I, Kayu Putih, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim. 85228",Kota Kupang,"4,2",39,Rp230.000
35,JOLLY HOTEL,HOTEL MELATI,"Jl. Suprapto No.22, Oebobo, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim. 85111",Kota Kupang,"4,1",55,Rp225.000
36,DEWATA HOTEL,HOTEL MELATI,"Jl. Tompello No.17, Oetete, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim.",Kota Kupang,"4,2",48,Rp220.000
37,GREENIA HOTEL,HOTEL MELATI,"Jalan Hati Mulia V, (Belakang Kantor PU Prov. NTT), Kel. Oebobo, Kota, Oebobo, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim.",Kota Kupang,"3,9",208,Rp240.000
38,CHARVITA HOTEL,HOTEL MELATI,"Jl. W.J. Lalamentik No. 30, Gg. Hati Murni, Oebobo, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim.",Kota Kupang,4,223,Rp200.000
39,DEWI INDAH HOTEL,HOTEL MELATI,JL. ANGGUR NO 3,Kota Kupang,4,100,Rp215.000
40,MUSTIKA FATULEU HOTEL,HOTEL MELATI,"Jl. Gn. Kelimutu, Merdeka, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim.",Kota Kupang,"3,5",55,Rp210.000
41,RAHMAD HOTEL,HOTEL MELATI,JL SUNAN GUNUNG JATI NO 11 KEL SOLOR,Kota Kupang,"4,5",11,Rp135.000
42,CLARICHIE GUEST HOUSE,PENYEDIAAN AKOMODASI JANGKA PENDEK LAINNYA,"JL. FARMASI, GANG ANTAR NUSA",Kota Kupang,"3,8",187,Rp110.000
